"TALHAO";"AREA_TL";"DATA_PL";"ESPAC";"PARCELA";"DATA_MD";"AREA_PC";"COVA";"DAP";"HT";"OBS";"HD"
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;39;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;40;12,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;41;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;42;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;43;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;44;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;45;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;46;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;47;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;48;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;49;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;50;11;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;51;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;52;11,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;53;10,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;54;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;55;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;56;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;57;NA;NA;"F";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;58;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;59;13,5;NA;"N";20,7
