"TALHAO";"AREA_TL";"DATA_PL";"ESPAC";"PARCELA";"DATA_MD";"AREA_PC";"COVA";"DAP";"HT";"HD";"HT_EST";"VCC";"VSC";"AS";"I"
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;77;15,5;NA;23,76;23,9835698383392;0,215454741473331;0,188909803716688;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;78;15,5;NA;23,76;23,9835698383392;0,215454741473331;0,188909803716688;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;79;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;80;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;81;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;82;16;NA;23,76;24,2555795903753;0,231126844053373;0,202837618276272;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;83;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;84;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;85;14,5;NA;23,76;23,3940180778323;0,185706592714919;0,162512096929378;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;86;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;87;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;88;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;89;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
