ARVORE;DAP;HT;hi;di_cc;e_casca
17;17,18873385;30,4;2;15,91549431;6
17;17,18873385;30,4;4;15,27887454;5
17;17,18873385;30,4;6;14,64225476;4
17;17,18873385;30,4;8;14,00563499;4
17;17,18873385;30,4;10;13,05070533;4
17;17,18873385;30,4;12;12,09577567;4
17;17,18873385;30,4;14;11,14084602;3
17;17,18873385;30,4;16;10,18591636;3
17;17,18873385;30,4;18;8,912676813;2
17;17,18873385;30,4;20;8,435211984;2
17;17,18873385;30,4;22;6,525352667;2
17;17,18873385;30,4;24;5,252113122;2
17;17,18873385;30,4;26;3,183098862;2
17;17,18873385;30,4;28;1,273239545;1
18;17,18873385;29,9;0,1;19,09859317;5
18;17,18873385;29,9;0,5;17,98450857;6
18;17,18873385;29,9;1;17,3478888;5
18;17,18873385;29,9;1,5;16,87042397;6
18;17,18873385;29,9;2;16,55211408;5
18;17,18873385;29,9;4;15,91549431;4
18;17,18873385;29,9;6;15,59718442;4
18;17,18873385;29,9;8;14,64225476;5
18;17,18873385;29,9;10;13,84648005;4
18;17,18873385;29,9;12;12,89155039;3
18;17,18873385;29,9;14;11,93662073;3
18;17,18873385;29,9;16;10,98169107;3
18;17,18873385;29,9;18;9,867606472;3
18;17,18873385;29,9;20;8,276057041;3
18;17,18873385;29,9;22;7,321127382;2
18;17,18873385;29,9;24;6,366197724;2
18;17,18873385;29,9;26;4,774648293;2
18;17,18873385;29,9;28;3,342253805;1
19;17,50704374;29,8;0,1;19,25774811;10
19;17,50704374;29,8;0,5;18,30281846;7
19;17,50704374;29,8;1;17,66619868;7
19;17,50704374;29,8;1,5;17,18873385;6
19;17,50704374;29,8;2;16,87042397;5
19;17,50704374;29,8;4;16,07464925;5
19;17,50704374;29,8;6;15,91549431;4
19;17,50704374;29,8;8;14,96056465;4
19;17,50704374;29,8;10;14,00563499;4
19;17,50704374;29,8;12;13,20986028;4
19;17,50704374;29,8;14;11,77746579;4
19;17,50704374;29,8;16;10,82253613;4
19;17,50704374;29,8;18;9,708451529;3
19;17,50704374;29,8;20;8,276057041;3
19;17,50704374;29,8;22;7,002817496;3
19;17,50704374;29,8;24;5,888732894;2
19;17,50704374;29,8;26;4,61549335;2
19;17,50704374;29,8;28;2,864788976;1
20;17,66619868;29,81;0,1;20,05352283;10
20;17,66619868;29,81;0,5;18,62112834;7
20;17,66619868;29,81;1;18,14366351;6
20;17,66619868;29,81;1,5;17,82535363;5
20;17,66619868;29,81;2;17,3478888;5
20;17,66619868;29,81;4;16,55211408;5
20;17,66619868;29,81;6;15,59718442;5
20;17,66619868;29,81;8;14,96056465;4
20;17,66619868;29,81;10;14,32394488;4
20;17,66619868;29,81;12;13,05070533;4
20;17,66619868;29,81;14;12,09577567;4
20;17,66619868;29,81;16;11,14084602;3
20;17,66619868;29,81;18;9,867606472;3
20;17,66619868;29,81;20;8,912676813;3
20;17,66619868;29,81;22;8,116902098;3
20;17,66619868;29,81;24;6,047887837;3
20;17,66619868;29,81;26;4,774648293;2
20;17,66619868;29,81;28;3,183098862;2
21;17,82535363;30,7;0,1;20,05352283;9
21;17,82535363;30,7;0,5;18,4619734;8
21;17,82535363;30,7;1;17,98450857;6
21;17,82535363;30,7;1,5;17,18873385;6
21;17,82535363;30,7;2;16,87042397;6
21;17,82535363;30,7;4;16,2338042;5
21;17,82535363;30,7;6;15,27887454;5
21;17,82535363;30,7;8;14,64225476;4
21;17,82535363;30,7;10;14,00563499;3
21;17,82535363;30,7;12;13,05070533;3
21;17,82535363;30,7;14;12,09577567;3
21;17,82535363;30,7;16;10,98169107;3
21;17,82535363;30,7;18;9,867606472;3
21;17,82535363;30,7;20;8,75352187;3
21;17,82535363;30,7;22;7,798592212;3
21;17,82535363;30,7;24;6,68450761;2
21;17,82535363;30,7;26;5,092958179;2
21;17,82535363;30,7;28;3,660563691;2
21;17,82535363;30,7;30;1,909859317;1
22;18,14366351;31,9;0,1;20,05352283;7
22;18,14366351;31,9;0,5;18,78028328;7
22;18,14366351;31,9;1;18,14366351;6
22;18,14366351;31,9;1,5;17,82535363;6
22;18,14366351;31,9;2;17,66619868;6
22;18,14366351;31,9;4;17,18873385;5
22;18,14366351;31,9;6;16,55211408;5
22;18,14366351;31,9;8;15,75633937;4
22;18,14366351;31,9;10;14,96056465;3
22;18,14366351;31,9;12;13,84648005;3
22;18,14366351;31,9;14;13,05070533;2
