ARVORE;TORA;DAP;HT;hi;di_cc;e_casca;comp_secao
10;17;16,1;20;16,5;9;5;1
10;18;16,1;20;17,5;8;4;1
10;19;16,1;20;18,5;7,5;4;1
10;20;16,1;20;19,5;6,5;4;1
11;1;16,2;20;0,5;16,5;3;1
11;2;16,2;20;1,5;16;3;1
11;3;16,2;20;2,5;15;3;1
11;4;16,2;20;3,5;15;3;1
11;5;16,2;20;4,5;14;3;1
11;6;16,2;20;5,5;14;2;1
11;7;16,2;20;6,5;13,5;2;1
11;8;16,2;20;7,5;13;2;1
11;9;16,2;20;8,5;12,5;1;1
11;10;16,2;20;9,5;12;8;1
11;11;16,2;20;10,5;11,5;8;1
11;12;16,2;20;11,5;11;6;1
11;13;16,2;20;12,5;10,5;6;1
11;14;16,2;20;13,5;10;5;1
11;15;16,2;20;14,5;9,5;5;1
11;16;16,2;20;15,5;9;4;1
11;17;16,2;20;16,5;8,5;4;1
11;18;16,2;20;17,5;8;4;1
11;19;16,2;20;18,5;7;3;1
11;20;16,2;20;19,5;6,5;3;1
12;1;16,1;20;0,5;17;2;1
12;2;16,1;20;1,5;16;2;1
12;3;16,1;20;2,5;15,5;2;1
12;4;16,1;20;3,5;14,5;2;1
12;5;16,1;20;4,5;14;2;1
12;6;16,1;20;5,5;14;1;1
12;7;16,1;20;6,5;13,5;9;1
12;8;16,1;20;7,5;13;6;1
12;9;16,1;20;8,5;12,5;6;1
12;10;16,1;20;9,5;12;7;1
12;11;16,1;20;10,5;11,5;6;1
12;12;16,1;20;11,5;11;5;1
12;13;16,1;20;12,5;10,5;4;1
12;14;16,1;20;13,5;10;4;1
12;15;16,1;20;14,5;9,5;4;1
12;16;16,1;20;15,5;9;4;1
12;17;16,1;20;16,5;8,5;3;1
12;18;16,1;20;17,5;8;3;1
12;19;16,1;20;18,5;7,5;2;1
12;20;16,1;20;19,5;6,5;2;1
12;1;16,1;21;0,5;17;2;1
12;2;16,1;21;1,5;16;2;1
12;3;16,1;21;2,5;16;2;1
12;4;16,1;21;3,5;15;1;1
12;5;16,1;21;4,5;15;5;1
12;6;16,1;21;5,5;14;6;1
12;7;16,1;21;6,5;13,5;5;1
12;8;16,1;21;7,5;13;6;1
12;9;16,1;21;8,5;12,5;5;1
12;10;16,1;21;9,5;12,5;4;1
12;11;16,1;21;10,5;12;4;1
12;12;16,1;21;11,5;11,5;5;1
12;13;16,1;21;12,5;11;4;1
12;14;16,1;21;13,5;10,5;3;1
12;15;16,1;21;14,5;10;3;1
12;16;16,1;21;15,5;10;3;1
12;17;16,1;21;16,5;9,5;3;1
12;18;16,1;21;17,5;8,5;3;1
