"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca";"di_sc";"AS_CC";"AS_SC";"VCC";"VSC"
8;14,32394488;25,45;2;13,84648005;4;13,04648005;0,0150580470554681;0,0133683125377992;0,0290955130367629;0,0261740528529499
8;14,32394488;25,45;4;13,36901522;3;12,76901522;0,0140374659812948;0,0128057403151507;0,0267698614339432;0,0243664101014317
8;14,32394488;25,45;6;12,73239545;3;12,13239545;0,0127323954526484;0,0115606697862811;0,0239229773852495;0,0216545260529428
8;14,32394488;25,45;8;11,93662073;3;11,33662073;0,0111905819326011;0,0100938562666617;0,0206622904775947;0,0185588391458525
8;14,32394488;25,45;10;10,98169107;3;10,38169107;0,00947170854499358;0,00846498287919075;0,0173677831515969;0,0154443318201278
8;14,32394488;25,45;12;10,02676141;3;9,42676141;0,00789607460660334;0,00697934894093704;0,0145885399631391;0,0131043806681079
8;14,32394488;25,45;14;9,230986699;2;8,830986699;0,0066924653565358;0,00612503172717089;0,0116660573286641;0,0106111900698881
8;14,32394488;25,45;16;7,957747155;2;7,557747155;0,00497359197212827;0,00448615834271717;0,00918324021664764;0,00824837295786517
8;14,32394488;25,45;18;7,321127382;2;6,921127382;0,00420964824451937;0,003762214615148;0,00693318720780931;0,00612831994907744
8;14,32394488;25,45;20;5,888732894;2;5,488732894;0,00272353896328994;0,00236610533392944;0,00428325740588937;0,0036583901471164
8;14,32394488;25,45;22;4,456338407;2;4,056338407;0,00155971844259943;0,00129228481318696;0,00200734171990347;0,00166804968315648
8;14,32394488;25,45;24;2,387324146;1;2,187324146;0,000447623277304044;0,000375764869969523;NA;NA
9;14,32394488;25,52;0,1;15,75633937;6;14,55633937;0,0194984699752042;0,0166415673099978;0,00749062739677995;0,00645995482712381
9;14,32394488;25,52;0,5;15,11971959;5;14,11971959;0,0179546670086956;0,0156582068256212;0,00834021637385002;0,00723573628224832
9;14,32394488;25,52;1;14,00563499;5;13,00563499;0,0154061984867045;0,0132847383033721;0,00761606138554315;0,0065615812937555
9;14,32394488;25,52;1,5;13,84648005;5;12,84648005;0,0150580470554681;0,0129615868716499;0,00735793196187031;0,00642138328661845
9;14,32394488;25,52;2;13,52817016;4;12,72817016;0,0143736807920132;0,0127239462748239;0,028411146773308;0,0255296865899746
9;14,32394488;25,52;4;13,36901522;3;12,76901522;0,0140374659812948;0,0128057403151507;0,0267698614339432;0,0243664101014317
9;14,32394488;25,52;6;12,73239545;3;12,13239545;0,0127323954526484;0,0115606697862811;0,0239229773852495;0,0216545260529428
9;14,32394488;25,52;8;11,93662073;3;11,33662073;0,0111905819326011;0,0100938562666617;0,0206622904775947;0,0185588391458525
9;14,32394488;25,52;10;10,98169107;3;10,38169107;0,00947170854499358;0,00846498287919075;0,0173677831515969;0,0154443318201278
9;14,32394488;25,52;12;10,02676141;3;9,42676141;0,00789607460660334;0,00697934894093704;0,0145885399631391;0,0131043806681079
9;14,32394488;25,52;14;9,230986699;2;8,830986699;0,0066924653565358;0,00612503172717089;0,0116660573286641;0,0106111900698881
9;14,32394488;25,52;16;7,957747155;2;7,557747155;0,00497359197212827;0,00448615834271717;0,00918324021664764;0,00824837295786517
9;14,32394488;25,52;18;7,321127382;2;6,921127382;0,00420964824451937;0,003762214615148;0,00693318720780931;0,00612831994907744
9;14,32394488;25,52;20;5,888732894;2;5,488732894;0,00272353896328994;0,00236610533392944;0,00428325740588937;0,0036583901471164
9;14,32394488;25,52;22;4,456338407;2;4,056338407;0,00155971844259943;0,00129228481318696;0,00200734171990347;0,00166804968315648
9;14,32394488;25,52;24;2,387324146;1;2,187324146;0,000447623277304044;0,000375764869969523;NA;NA
10;14,96056465;22,25;0,1;17,3478888;6;16,1478888;0,0236364984940649;0,0204795958290318;0,00870617327651559;0,00759050070675146
10;14,96056465;22,25;0,5;15,91549431;5;14,91549431;0,0198943678885131;0,0174729077047255;0,00946225872430216;0,00828277863258669
10;14,96056465;22,25;1;15,11971959;5;14,11971959;0,0179546670086956;0,0156582068256212;0,00869831499439326;0,00756883490288453
10;14,96056465;22,25;1,5;14,64225476;5;13,64225476;0,0168385929688775;0,0146171327859169;0,00823825774020577;0,00724545906502565
10;14,96056465;22,25;2;14,32394488;4;13,52394488;0,0161144379919456;0,0143647034741857;0,0308283124895999;0,0274088434537826
10;14,96056465;22,25;4;13,68732511;4;12,88732511;0,0147138744976543;0,0130441399795969;0,0274462699503026;0,0246048097658779
10;14,96056465;22,25;6;12,73239545;3;12,13239545;0,0127323954526484;0,0115606697862811;0,0242233823344135;0,0219399310023983
10;14,96056465;22,25;8;12,09577567;3;11,49577567;0,0114909868817652;0,0103792612161172;0,0206901425920536;0,0185866912603114
